verbessert improved
erfreulich enjoyable
lehrerin schoolmistress
energien vigors
taumelig groggily
kategorieen categories
ablagerung deposit
unqualifiziert unpolished
ausrotten eradicate
wettend betting
verhasst hateful
makrone macaroon
traege idle
verwuenschend execrating
gehend going
kapelle chapel
maske mask
kuerzung abridgement
berichterstatter reporter
vereinheitlichungen unifications
gehoeren appertain
pica pica
umfasste enfolded
ausgetauscht interchanged
geschluckt swallowed
konferenz conference
breie mushes
schatten shade
taub deaf
hochgehoben uplifted
fortgeschritten preceded
breit broadly
scheinen seem
erblickte beholded
bausatz kit
erblichkeit heredity
unverschlossen unlocked
entlaedt discharges
hervorlockend eliciting
taut dews
floehe fleas
dampfend steaming
gefuehlvoll lyrical
bindet binds
binden bind
waehrend during
bestechlich corruptible
kundschaft clientele
andeutung inkling
freisprechend acquitting
dimensional dimensional
betoerte infatuated
fabel fable
angezogen attracted
tomate tomato
verzeichnis index
menschenfresser ogre
bedeuten mean
varietes vaudevilles
streicheln stroke
geschlagen battered
ersetzen substitute
schichten layers
bedeutet matters
ausfuehrbar feasibly
patrone cartridge
quast tassel
zinnoberrot vermilion
knie knee
abgeraten dissuaded
krawate tie
wertlos trashily
hagebutte haw
gartenarbeit gardening
umarmen embrace
abgaben tributes
vermutete conjectured
kuenstlerisch artistic
obgleich although
laeutend knolling
knurrend snarling
haeufig frequent
ziegelstein brick
haelse necks
begriffe items
abgefragt prompted
einschliesslich conclusively
gereimt rhymed
verpfuscht bungled
affen apes
ungangbar impassably
legen put
bahren biers
sprach spoke
gewundert wondered
knirschen gnash
vertreiben dislodge
bedeutungen meanings
gekoedert decoyed
veranlasste induced
verbindungspunkte junctures
wiedergerufen recalled
ablehnend deprecating
einwanderer immigrant
zigarette cigarette
zorn anger
gesellschaft society
aushoehlend holing
erkennt perceives
heizung firing
entwickeln develop
vorbildlich exemplary
entwickelt developed
nadelbaum conifer
primitive primitive
tiefe deepness
grossmutter grandmother
nachgebend relenting
konstruieren construct
taxi cab
gesengt singed
fahrzeuge vehicles
geharkt raked
zusammenfassend recapitulating
jener yonder
frustration frustration
huehner hens
graben burrow
wurzel root
unvertraeglichkeit incompatibility
wettern fulminate
sortieren assort
gebacken baked
zujubeln acclaim
unzusammenhaengend incoherent
begrenzter narrower
hexereien witchcrafts
wettert fulminates
kaufend vending
tauben doves
staatsangehoerigkeit nationality
querstrasse cross-road
sonntag sunday
italic italics
pumpe pump
gelockt enticed
geheim occult
totschlaeger killer
unigelaende campus
eintoenigkeit monotony
schleudern fling
schreibend typeing
verzweifelt despairs
schleudert hurls
verkehrtheit perversities
urnen urns
gabeln forks
verstanden understood
krankenhaeuser hospitals
pumpt pumps
stich twinge
annehmen assume
verzweifeln despair
aufhaken unhook
reste leavings
kopierend copying
